original_text,encrypted_text
Slovensko je krásna krajina Láska hory prenáša,Ngjqzinfj ez fmtniv fmvediv Gtnfv cjmt kmzitrv
V našej záhrade rastú krásne kvety,U mzvdi yxgqzcd qzrsw jqxrmd judsx
Kde bolo tam bolo,Wpq naxa fmy naxa
Ráno múdrejšie večera,Szop nyesfkxjf wfrfsb
Život je krásny Slovensko je krásna krajina Kde bolo tam bolo,Lpcva ql ryfzuf Zsvcluzrv ql ryfzuh ryhqpuh Rkl ivsv aht ivsv
Láska hory prenáša,Ylfxn ubel ceraljn
Všetko najlepšie k narodeninám Život je krásny Bez práce nie sú koláče,Tucrim lyhjcnugc i lypmbclglwk Cgtmr hc ipwqlw Zcx npwac lgc qv imjwoc
Láska hory prenáša Bez práce nie sú koláče,Obvnd krub suhqbzd Ehc subfh qlh va nrobth
Kde bolo tam bolo Ráno múdrejšie večera Dobrý deň prajem,Uno lyvy dkw lyvy Bixy whnbotgso foaobk Nylbk noh zbktow
Dobrý deň prajem Láska hory prenáša Život je krásny,Nylbk noh zbktow Vicuk rybi zboxigk Osfyd to ubicxi
V našej záhrade rastú krásne kvety,F xkgot jirbkno bkcdh ubicxo ufodi
Život je krásny Ráno múdrejšie večera Láska hory prenáša,Cgtmr hc ipwqlw Pwlm kvbpchugc tcocpy Jwqiy fmpw npclwuy
Všetko najlepšie k narodeninám,Abjypt sfoqjubnj p sfwtijsnsdr
Láska hory prenáša Všetko najlepšie k narodeninám Príliš žlťučký kôň úpäl ďábelské ódy,Anhzp wdgn egtcnlp Kltizd cpyatelxt z cpgdstcxcnb Egzaxl oapjfzp zgm meqa hnqtahzv fsn
Láska hory prenáša Ráno múdrejšie večera,Jwqiy fmpw npclwuy Pwlm kvbpchugc tcocpy
Bez práce nie sú koláče Slovensko je krásna krajina,Wzu kmtxz idz ns fjgtlz Ngjqzinfj ez fmtniv fmvediv
Láska hory prenáša,Wjdvl szcj acpyjhl
Všetko najlepšie k narodeninám Láska hory prenáša Ráno múdrejšie večera,Tucrim lyhjcnugc i lypmbclglwk Jwqiy fmpw npclwuy Pwlm kvbpchugc tcocpy
Dobrý deň prajem Život je krásny,Kviyh kle wyhqlt Lpcva ql ryfzuf
Príliš žlťučký kôň úpäl ďábelské ódy,Yaturf iujdztj tag gyku bhknubtp zmh
Bez práce nie sú koláče,Vyt jlswy hcy mr eifsky
Dobrý deň prajem Život je krásny Všetko najlepšie k narodeninám,Zkxnw zat lnwfai Aerkp fa gnuoju Rsapgk jwfhalsea g jwnkzajejui
Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče Slovensko je krásna krajina,Hjcdao rdsmics cjp phtd kqtwdkcy ivq Twr hjquw faw kp cgdqiw Kdgnwfkcg bw cjqkfs cjsbafs
Ráno múdrejšie večera,Qxmn lwcqdivhd udpdqz
Život je krásny Slovensko je krásna krajina,Aerkp fa gnuoju Ohkrajogk fa gnuojw gnwfejw
Láska hory prenáša Slovensko je krásna krajina,Dqkcs zgjq hjwfqos Kdgnwfkcg bw cjqkfs cjsbafs
Láska hory prenáša Dobrý deň prajem Bez práce nie sú koláče,Qdxpf mtwd uwjsdbf Itgwf ijc uwfojr Gje uwdhj snj xc ptqdvj
Láska hory prenáša Všetko najlepšie k narodeninám,Pcwoe lsvc tvircae Zaixos renpitami o revshirmrcq
Slovensko je krásna krajina,Lehoxgldh cx dkrlgt dktcbgt
Všetko najlepšie k narodeninám,Yzhwnr qdmohszlh n qdurghqlqbp
Dobrý deň prajem,Whukt wxq iktcxf
Láska hory prenáša,Kxrjz gnqx oqdmxvz
Dobrý deň prajem Všetko najlepšie k narodeninám,Ufsir uvo giravd Mnvkbf eracvgnzv b erifuvezepd
Dobrý deň prajem Slovensko je krásna krajina Príliš žlťučký kôň úpäl ďábelské ódy,Rcpfo rsl dfoxsa Gzcjsbgyc xs yfmgbo yfoxwbo Dfyzwk nzoieyo yfl ldpz gmpszgyu erm
Láska hory prenáša Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče,Vicuk rybi zboxigk Zbuvsg jvkeauk ubh hzlv cilovcuq ani Loj zbimo xso ch uyviao
Láska hory prenáša,Gtnfv cjmt kmzitrv
Kde bolo tam bolo Slovensko je krásna krajina Láska hory prenáša,Yrs pczc hoa pczc Gzcjsbgyc xs yfmgbo yfoxwbo Zmgyo vcfm dfsbmko
Bez práce nie sú koláče Život je krásny,Dgb rtaeg pkg uz mqnasg Gkxqv lg mtaupa
Láska hory prenáša Slovensko je krásna krajina Život je krásny,Dqkcs zgjq hjwfqos Kdgnwfkcg bw cjqkfs cjsbafs Wangl bw cjqkfq
Kde bolo tam bolo Láska hory prenáša,Ohi fsps xeq fsps Pcwoe lsvc tvircae
Dobrý deň prajem Bez práce nie sú koláče Všetko najlepšie k narodeninám,Ozmcl opi aclupx Mpk acjnp ytp di vzwjbp Ghpevz yluwpahtp v ylczopytyjx
Dobrý deň prajem Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče,Ufsir uvo giravd Gibczn qcrlhbr bio ogsc jpsvcjbx hup Svq giptv ezv jo bfcphv
Kde bolo tam bolo Bez práce nie sú koláče,Jcd ankn szl ankn Ady oqxbd mhd rw jnkxpd
Slovensko je krásna krajina V našej záhrade rastú krásne kvety Ráno múdrejšie večera,Ohkrajogk fa gnuojw gnwfejw R jwsaf vudnwza nwopt gnuoja grapu Nujk itznafsea ramanw
Život je krásny V našej záhrade rastú krásne kvety Bez práce nie sú koláče,Aerkp fa gnuoju R jwsaf vudnwza nwopt gnuoja grapu Xav lnuya jea ot gkhuma
Ráno múdrejšie večera Život je krásny Kde bolo tam bolo,Qxmn lwcqdivhd udpdqz Dhuns id jqxrmx Jcd ankn szl ankn
Život je krásny Láska hory prenáša Kde bolo tam bolo,Nrexc sn tahbwh Uhbtj qxah yanwhfj Tmn kxux cjv kxux
Všetko najlepšie k narodeninám Život je krásny Slovensko je krásna krajina,Tucrim lyhjcnugc i lypmbclglwk Cgtmr hc ipwqlw Qjmtclqim hc ipwqly ipyhgly
Príliš žlťučký kôň úpäl ďábelské ódy Všetko najlepšie k narodeninám Kde bolo tam bolo,Rtmnky bncwsmc mtz zrdn uadgnumi sfa Xygvmq pclngrykg m pctqfgpkpao Mfg dqnq vco dqnq
Dobrý deň prajem Život je krásny Slovensko je krásna krajina,Terhq tun fhqzuc Uylej zu ahoido Ibeludiae zu ahoidq ahqzydq
Bez práce nie sú koláče Láska hory prenáša Ráno múdrejšie večera,Dgb rtaeg pkg uz mqnasg Naumc jqta rtgpayc Tapq ozftglykg xgsgtc
Láska hory prenáša Dobrý deň prajem,Cpjbr yfip givepnr Ufsir uvo giravd
Kde bolo tam bolo,Buv sfcf krd sfcf
Príliš žlťučký kôň úpäl ďábelské ódy,Bdwxui lxmgcwm wdj jbnx eknqxews cpk
Všetko najlepšie k narodeninám Kde bolo tam bolo V našej záhrade rastú krásne kvety,Jkshyc boxzsdkws y bofcrsbwbma Yrs pczc hoa pczc J boksx nmvfors foghl yfmgbs yjshm
Bez práce nie sú koláče Ráno múdrejšie večera Slovensko je krásna krajina,Gje uwdhj snj xc ptqdvj Wdst rciwjobnj ajvjwf Xqtajsxpt oj pwdxsf pwfonsf
Ráno múdrejšie večera Všetko najlepšie k narodeninám Bez práce nie sú koláče,Nujk itznafsea ramanw Rsapgk jwfhalsea g jwnkzajejui Xav lnuya jea ot gkhuma
Láska hory prenáša Všetko najlepšie k narodeninám,Xkewm tadk bdqzkim Hiqfwa zmvxqbiuq w zmdapqzuzky
Dobrý deň prajem Slovensko je krásna krajina V našej záhrade rastú krásne kvety,Fqdtc fgz rtclgo Unqxgpumq lg mtaupc mtclkpc X pcygl bajtcfg tcuvz mtaupg mxgva
V našej záhrade rastú krásne kvety Príliš žlťučký kôň úpäl ďábelské ódy,T lyuch xwfpybc pyqrv ipwqlc itcrw Npijgu xjysoiy ipv vnzj qwzcjqie obw
Dobrý deň prajem,Greud gha sudmhp
Príliš žlťučký kôň úpäl ďábelské ódy,Fhabym pbqkgaq ahn nfrb iorubiaw gto
Príliš žlťučký kôň úpäl ďábelské ódy Dobrý deň prajem Všetko najlepšie k narodeninám,Zbuvsg jvkeauk ubh hzlv cilovcuq ani Nylbk noh zbktow Fgoduy xktvozgso u xkbynoxsxiw
Všetko najlepšie k narodeninám Ráno múdrejšie večera,Cdlarv uhqslwdpl r uhyvklupuft Yfuv tekylqdpl clxlyh
Ráno múdrejšie večera Kde bolo tam bolo Láska hory prenáša,Elab zkqerwjvr irdren Xqr obyb gnz obyb Ylfxn ubel ceraljn
Dobrý deň prajem Láska hory prenáša Život je krásny,Ufsir uvo giravd Cpjbr yfip givepnr Vzmfk av bipjep
V našej záhrade rastú krásne kvety Bez práce nie sú koláče Život je krásny,X pcygl bajtcfg tcuvz mtaupg mxgva Dgb rtaeg pkg uz mqnasg Gkxqv lg mtaupa
Dobrý deň prajem V našej záhrade rastú krásne kvety Všetko najlepšie k narodeninám,Nylbk noh zbktow F xkgot jirbkno bkcdh ubicxo ufodi Fgoduy xktvozgso u xkbynoxsxiw
Láska hory prenáša Ráno múdrejšie večera Všetko najlepšie k narodeninám,Pcwoe lsvc tvircae Vcrs qbhvinami ziuive Zaixos renpitami o revshirmrcq
Slovensko je krásna krajina,Mfipyhmei dy elsmhu eludchu
V našej záhrade rastú krásne kvety,H zmiqv lktdmpq dmefj wdkezq whqfk
Bez práce nie sú koláče Slovensko je krásna krajina Všetko najlepšie k narodeninám,Psn dfmqs bws gl yczmes Gzcjsbgyc xs yfmgbo yfoxwbo Jkshyc boxzsdkws y bofcrsbwbma
Bez práce nie sú koláče Láska hory prenáša,Fid tvcgi rmi wb ospcui Pcwoe lsvc tvircae
Slovensko je krásna krajina V našej záhrade rastú krásne kvety Kde bolo tam bolo,Lehoxgldh cx dkrlgt dktcbgt O gtpxc sraktwx ktlmq dkrlgx doxmr Dwx uheh mtf uheh
Všetko najlepšie k narodeninám,Qrzofj ivegzkrdz f ivmjyzidith
Láska hory prenáša Všetko najlepšie k narodeninám,Dqkcs zgjq hjwfqos Nowlcg fsbdwhoaw c fsjgvwfafqe
Bez práce nie sú koláče,Ybw movzb kfb pu hlivnb
Ráno múdrejšie večera Slovensko je krásna krajina,Nujk itznafsea ramanw Ohkrajogk fa gnuojw gnwfejw
Život je krásny,Ycpin dy elsmhs
Dobrý deň prajem Ráno múdrejšie večera,Mxkaj mng yajsnv Ahwx vgmansfrn enznaj
Láska hory prenáša Kde bolo tam bolo,Tgasi pwzg xzmvgei Slm jwtw biu jwtw
Život je krásny Dobrý deň prajem Ráno múdrejšie večera,Uylej zu ahoido Terhq tun fhqzuc Hode cnthuzmyu luguhq
V našej záhrade rastú krásne kvety,D viemr hgpzilm ziabf szgavm sdmbg
Príliš žlťučký kôň úpäl ďábelské ódy Ráno múdrejšie večera Láska hory prenáša,Zbuvsg jvkeauk ubh hzlv cilovcuq ani Bixy whnbotgso foaobk Vicuk rybi zboxigk
Bez práce nie sú koláče,Fid tvcgi rmi wb ospcui
Kde bolo tam bolo,Mfg dqnq vco dqnq
Bez práce nie sú koláče Život je krásny Všetko najlepšie k narodeninám,Wzu kmtxz idz ns fjgtlz Zdqjo ez fmtnit Qrzofj ivegzkrdz f ivmjyzidith
Láska hory prenáša,Kxrjz gnqx oqdmxvz
Slovensko je krásna krajina Bez práce nie sú koláče V našej záhrade rastú krásne kvety,Qjmtclqim hc ipwqly ipyhgly Zcx npwac lgc qv imjwoc T lyuch xwfpybc pyqrv ipwqlc itcrw
Slovensko je krásna krajina Všetko najlepšie k narodeninám,Jcfmvejbf av bipjer birazer Mnvkbf eracvgnzv b erifuvezepd
Kde bolo tam bolo,Atu rebe jqc rebe
Kde bolo tam bolo,Buv sfcf krd sfcf
Dobrý deň prajem Kde bolo tam bolo Slovensko je krásna krajina,Rcpfo rsl dfoxsa Yrs pczc hoa pczc Gzcjsbgyc xs yfmgbo yfoxwbo
Všetko najlepšie k narodeninám,Ijrgxb anwyrcjvr x anebqravalz
V našej záhrade rastú krásne kvety Kde bolo tam bolo Láska hory prenáša,R jwsaf vudnwza nwopt gnuoja grapu Gza xkhk pwi xkhk Huogw dknu lnajusw
Láska hory prenáša Kde bolo tam bolo Život je krásny,Kxrjz gnqx oqdmxvz Jcd ankn szl ankn Dhuns id jqxrmx
Láska hory prenáša Príliš žlťučký kôň úpäl ďábelské ódy,Naumc jqta rtgpayc Rtmnky bncwsmc mtz zrdn uadgnumi sfa
Kde bolo tam bolo Dobrý deň prajem,Yrs pczc hoa pczc Rcpfo rsl dfoxsa
Bez práce nie sú koláče,Xav lnuya jea ot gkhuma
Život je krásny Príliš žlťučký kôň úpäl ďábelské ódy Všetko najlepšie k narodeninám,Quhaf vq wdkezk Bdwxui lxmgcwm wdj jbnx eknqxews cpk Hiqfwa zmvxqbiuq w zmdapqzuzky
Príliš žlťučký kôň úpäl ďábelské ódy,Ikdebp setnjdt dkq qiue lruxeldz jwr
Kde bolo tam bolo,Ohi fsps xeq fsps
Život je krásny Slovensko je krásna krajina,Txkdi yt zgnhcn Hadktchzd yt zgnhcp zgpyxcp
V našej záhrade rastú krásne kvety Život je krásny Ráno múdrejšie večera,X pcygl bajtcfg tcuvz mtaupg mxgva Gkxqv lg mtaupa Tapq ozftglykg xgsgtc
Všetko najlepšie k narodeninám Život je krásny,Jkshyc boxzsdkws y bofcrsbwbma Swjch xs yfmgbm
Všetko najlepšie k narodeninám,Wxfulp obkmfqxjf l obspefojozn
Príliš žlťučký kôň úpäl ďábelské ódy Život je krásny,Bdwxui lxmgcwm wdj jbnx eknqxews cpk Quhaf vq wdkezk
Príliš žlťučký kôň úpäl ďábelské ódy Život je krásny,Bdwxui lxmgcwm wdj jbnx eknqxews cpk Quhaf vq wdkezk
Láska hory prenáša Kde bolo tam bolo,Kxrjz gnqx oqdmxvz Jcd ankn szl ankn
Láska hory prenáša V našej záhrade rastú krásne kvety Slovensko je krásna krajina,Huogw dknu lnajusw R jwsaf vudnwza nwopt gnuoja grapu Ohkrajogk fa gnuojw gnwfejw
Život je krásny,Ptgze up vcjdyj
Láska hory prenáša,Erldt ahkr ikxgrpt
Slovensko je krásna krajina,Jcfmvejbf av bipjer birazer
Dobrý deň prajem,Vgtjs vwp hjsbwe
Kde bolo tam bolo Bez práce nie sú koláče Všetko najlepšie k narodeninám,Wpq naxa fmy naxa Nql bdkoq zuq ej waxkcq Hiqfwa zmvxqbiuq w zmdapqzuzky
Dobrý deň prajem Láska hory prenáša Život je krásny,Mxkaj mng yajsnv Uhbtj qxah yanwhfj Nrexc sn tahbwh
Bez práce nie sú koláče,Xav lnuya jea ot gkhuma
Láska hory prenáša Život je krásny Kde bolo tam bolo,Mztlb ipsz qsfozxb Fjwpu kf lsztoz Lef cpmp ubn cpmp
V našej záhrade rastú krásne kvety Príliš žlťučký kôň úpäl ďábelské ódy Kde bolo tam bolo,S kxtbg wveoxab oxpqu hovpkb hsbqv Mohift wixrnhx hou umyi pvybiphd nav Hab ylil qxj ylil
Slovensko je krásna krajina Príliš žlťučký kôň úpäl ďábelské ódy,Atwdmvasw rm szgavi szirqvi Xzstqe hticysi szf fxjt agjmtaso ylg
Láska hory prenáša Bez práce nie sú koláče,Dqkcs zgjq hjwfqos Twr hjquw faw kp cgdqiw
Príliš žlťučký kôň úpäl ďábelské ódy V našej záhrade rastú krásne kvety,Cexyvj mynhdxn xek kcoy floryfxt dql I anjrw mluenqr enfgk xelfar xirgl
Dobrý deň prajem Slovensko je krásna krajina,Juhxg jkd vxgpks Yrubktyqu pk qxeytg qxgpotg
Kde bolo tam bolo,Rkl ivsv aht ivsv
Ráno múdrejšie večera Láska hory prenáša Bez práce nie sú koláče,Lshi grxlydqcy pykylu Fsmeu bils jlyhsqu Vyt jlswy hcy mr eifsky
Príliš žlťučký kôň úpäl ďábelské ódy,Tvopma dpeyuoe ovb btfp wcfipwok uhc
Príliš žlťučký kôň úpäl ďábelské ódy Bez práce nie sú koláče Ráno múdrejšie večera,Fhabym pbqkgaq ahn nfrb iorubiaw gto Rup fhosu dyu in aebogu Hode cnthuzmyu luguhq
Kde bolo tam bolo Život je krásny,Ibc zmjm ryk zmjm Cgtmr hc ipwqlw
Dobrý deň prajem V našej záhrade rastú krásne kvety,Rcpfo rsl dfoxsa J boksx nmvfors foghl yfmgbs yjshm
Dobrý deň prajem,Yjwmv yzs kmvezh
Slovensko je krásna krajina Život je krásny Kde bolo tam bolo,Ohkrajogk fa gnuojw gnwfejw Aerkp fa gnuoju Gza xkhk pwi xkhk
Všetko najlepšie k narodeninám Dobrý deň prajem,Rsapgk jwfhalsea g jwnkzajejui Zkxnw zat lnwfai
Láska hory prenáša Ráno múdrejšie večera Príliš žlťučký kôň úpäl ďábelské ódy,Obvnd krub suhqbzd Ubqr paguhmzlh yhthud Sunolz codxtnd nua aseo vbehovnj tgb
Príliš žlťučký kôň úpäl ďábelské ódy Láska hory prenáša V našej záhrade rastú krásne kvety,Mohift wixrnhx hou umyi pvybiphd nav Ivphx elov mobkvtx S kxtbg wveoxab oxpqu hovpkb hsbqv
Príliš žlťučký kôň úpäl ďábelské ódy Všetko najlepšie k narodeninám,Xzstqe hticysi szf fxjt agjmtaso ylg Dembsw virtmxeqm s vizwlmvqvgu
Ráno múdrejšie večera,Vcrs qbhvinami ziuive
Ráno múdrejšie večera Láska hory prenáša,Qxmn lwcqdivhd udpdqz Kxrjz gnqx oqdmxvz
Život je krásny Láska hory prenáša Slovensko je krásna krajina,Bfslq gb hovpkv Ivphx elov mobkvtx Pilsbkphl gb hovpkx hoxgfkx
Dobrý deň prajem Ráno múdrejšie večera,Ozmcl opi aclupx Cjyz xiocpuhtp gpbpcl
Láska hory prenáša V našej záhrade rastú krásne kvety,Gtnfv cjmt kmzitrv Q ivrze utcmvyz mvnos fmtniz fqzot
Láska hory prenáša Ráno múdrejšie večera,Jwqiy fmpw npclwuy Pwlm kvbpchugc tcocpy
Všetko najlepšie k narodeninám Bez práce nie sú koláče,Lmujae dqzbufmyu a dqhetudydoc Rup fhosu dyu in aebogu
V našej záhrade rastú krásne kvety,I anjrw mluenqr enfgk xelfar xirgl
Všetko najlepšie k narodeninám Bez práce nie sú koláče,Lmujae dqzbufmyu a dqhetudydoc Rup fhosu dyu in aebogu
Láska hory prenáša Bez práce nie sú koláče Slovensko je krásna krajina,Huogw dknu lnajusw Xav lnuya jea ot gkhuma Ohkrajogk fa gnuojw gnwfejw
Bez práce nie sú koláče Kde bolo tam bolo Ráno múdrejšie večera,Ybw movzb kfb pu hlivnb Hab ylil qxj ylil Ovkl juaobgtfb sbnbox
Príliš žlťučký kôň úpäl ďábelské ódy,Ikdebp setnjdt dkq qiue lruxeldz jwr
Ráno múdrejšie večera,Pwlm kvbpchugc tcocpy
Bez práce nie sú koláče Ráno múdrejšie večera,Zcx npwac lgc qv imjwoc Pwlm kvbpchugc tcocpy
Láska hory prenáša Ráno múdrejšie večera Príliš žlťučký kôň úpäl ďábelské ódy,Tgasi pwzg xzmvgei Zgvw uflzmreqm dmymzi Xzstqe hticysi szf fxjt agjmtaso ylg
V našej záhrade rastú krásne kvety Dobrý deň prajem Všetko najlepšie k narodeninám,F xkgot jirbkno bkcdh ubicxo ufodi Nylbk noh zbktow Fgoduy xktvozgso u xkbynoxsxiw
V našej záhrade rastú krásne kvety Život je krásny,T lyuch xwfpybc pyqrv ipwqlc itcrw Cgtmr hc ipwqlw
Všetko najlepšie k narodeninám,Nowlcg fsbdwhoaw c fsjgvwfafqe
Dobrý deň prajem Bez práce nie sú koláče Všetko najlepšie k narodeninám,Cnaqz cdw oqzidl Ady oqxbd mhd rw jnkxpd Uvdsjn mzikdovhd j mzqncdmhmxl
Slovensko je krásna krajina Bez práce nie sú koláče,Atwdmvasw rm szgavi szirqvi Jmh xzgkm vqm af swtgym
Bez práce nie sú koláče Všetko najlepšie k narodeninám Láska hory prenáša,Hkf vxeik tok yd qurewk Bckzqu tgprkvcok q tgxujktotes Reyqg nuxe vxktecg
Všetko najlepšie k narodeninám Slovensko je krásna krajina V našej záhrade rastú krásne kvety,Pqynei hudfyjqcy e hulixyhchsg Mfipyhmei dy elsmhu eludchu P huqyd tsbluxy lumnr elsmhy epyns
Kde bolo tam bolo,Vop mzwz elx mzwz
